<DATE>;<TIME>;<CLOSE>
20170227;100000;56.5000000
20170227;110000;56.6900000
20170227;120000;56.6300000
20170227;130000;56.5200000
20170227;140000;56.4200000
20170227;150000;56.4800000
20170227;160000;56.5800000
20170227;170000;56.4600000
20170227;180000;56.2500000
20170227;190000;56.2000000
20170227;200000;56.1500000
20170227;210000;56.0800000
20170227;220000;55.9700000
20170227;230000;56.0900000
20170228;100000;56.4800000
20170228;110000;56.4500000
20170228;120000;56.2800000
20170228;130000;56.3500000
20170228;140000;56.2700000
20170228;150000;56.2200000
20170228;160000;55.9200000
20170228;170000;55.9000000
20170228;180000;55.8800000
20170228;190000;55.7800000
20170228;200000;55.7700000
20170228;210000;56.4000000
20170228;220000;56.4500000
20170228;230000;56.4600000
20170301;100000;56.3300000
20170301;110000;56.4300000
20170301;120000;56.8000000
20170301;130000;56.7600000
20170301;140000;56.7100000
20170301;150000;56.7300000
20170301;160000;56.7600000
20170301;170000;56.8100000
20170301;180000;56.7200000
20170301;190000;56.4900000
20170301;200000;56.3800000
20170301;210000;56.4600000
20170301;220000;56.3900000
20170301;230000;56.3200000
20170302;100000;56.3400000
20170302;110000;56.3600000
20170302;120000;56.0000000
20170302;130000;55.8900000
20170302;140000;55.9200000
20170302;150000;55.7800000
20170302;160000;55.5400000
20170302;170000;55.6300000
20170302;180000;55.4200000
20170302;190000;55.4000000
20170302;200000;55.3400000
20170302;210000;55.1800000
20170302;220000;55.1000000
20170302;230000;55.1300000
20170303;100000;55.2900000
20170303;110000;55.3600000
20170303;120000;55.1300000
20170303;130000;55.3200000
20170303;140000;55.2600000
20170303;150000;55.1400000
20170303;160000;55.2400000
20170303;170000;55.4800000
20170303;180000;55.5000000
20170303;190000;55.6000000
20170303;200000;55.6300000
20170303;210000;55.6500000
20170303;220000;55.8300000
20170303;230000;55.7100000
20170306;100000;55.4700000
20170306;110000;55.5000000
20170306;120000;55.6700000
20170306;130000;55.6200000
20170306;140000;55.4900000
20170306;150000;55.6400000
20170306;160000;55.7700000
20170306;170000;55.9100000
20170306;180000;56.0700000
20170306;190000;55.8000000
20170306;200000;55.8400000
20170306;210000;55.9100000
20170306;220000;56.0300000
20170306;230000;56.0200000
20170307;100000;55.8700000
20170307;110000;56.0300000
20170307;120000;56.0400000
20170307;130000;56.1000000
20170307;140000;56.1500000
20170307;150000;56.2700000
20170307;160000;56.4400000
20170307;170000;56.4100000
20170307;180000;56.0400000
20170307;190000;56.0600000
20170307;200000;56.0100000
20170307;210000;55.9500000
20170307;220000;55.9100000
20170307;230000;55.9000000
20170309;100000;53.5800000
20170309;110000;53.7600000
20170309;120000;53.3500000
20170309;130000;51.7700000
20170309;140000;52.2800000
20170309;150000;51.9000000
20170309;160000;52.4700000
20170309;170000;52.5600000
20170309;180000;52.1600000
20170309;190000;51.9400000
20170309;200000;51.6900000
20170309;210000;51.6900000
